"invoice_id","city","category","unit_price","quantity","sale_date","sale_time","payment_method","rating"
16,"Corpus Christi","Sports and travel","93.72",6,"2019-01-15","16:19:00","Cash","4.50"
17,"Round Rock","Health and beauty","68.93",7,"2019-03-11","11:03:00","Credit card","4.60"
18,"Cedar Park","Sports and travel","72.61",6,"2019-01-01","10:39:00","Credit card","6.90"
19,"Conroe","Food and beverages","54.67",3,"2019-01-21","18:00:00","Credit card","8.60"
20,"Irving","Home and lifestyle","40.30",2,"2019-03-11","15:30:00","Ewallet","4.40"
21,"Pharr","Electronic accessories","86.04",5,"2019-02-25","11:24:00","Ewallet","4.80"
22,"Cleburne","Health and beauty","87.98",3,"2019-03-05","10:40:00","Ewallet","5.10"
23,"Farmers Branch","Home and lifestyle","33.20",2,"2019-03-15","12:20:00","Credit card","4.40"
24,"Haltom City","Electronic accessories","34.56",5,"2019-02-17","11:15:00","Ewallet","9.90"
25,"Midland","Sports and travel","88.63",3,"2019-03-02","17:36:00","Ewallet","6.00"
26,"Houston","Home and lifestyle","52.59",8,"2019-03-22","19:20:00","Credit card","8.50"
27,"Lancaster","Fashion accessories","33.52",1,"2019-02-08","15:31:00","Cash","6.70"
28,"Temple","Fashion accessories","87.67",2,"2019-03-10","12:17:00","Credit card","7.70"
29,"Garland","Food and beverages","88.36",5,"2019-01-25","19:48:00","Cash","9.60"
30,"San Marcos","Health and beauty","24.89",9,"2019-03-15","15:36:00","Cash","7.40"
31,"Huntsville","Fashion accessories","94.13",5,"2019-02-25","19:39:00","Credit card","4.80"
32,"Mineral Wells","Sports and travel","78.07",9,"2019-01-28","12:43:00","Cash","4.50"
33,"McAllen","Sports and travel","83.78",8,"2019-01-10","14:49:00","Cash","5.10"
34,"Eagle Pass","Health and beauty","96.58",2,"2019-03-15","10:12:00","Credit card","5.10"
35,"Mesquite","Food and beverages","99.42",4,"2019-02-06","10:42:00","Ewallet","7.50"
36,"Big Spring","Sports and travel","68.12",1,"2019-01-07","12:28:00","Ewallet","6.80"
37,"Mission","Sports and travel","62.62",5,"2019-03-10","19:15:00","Ewallet","7.00"
38,"Hurst","Electronic accessories","60.88",9,"2019-01-15","17:17:00","Ewallet","4.70"
39,"Hurst","Health and beauty","54.92",8,"2019-03-23","13:24:00","Ewallet","7.60"
40,"Richardson","Home and lifestyle","30.12",8,"2019-03-03","13:01:00","Cash","7.70"
41,"Pearland","Home and lifestyle","86.72",1,"2019-01-17","18:45:00","Ewallet","7.90"
42,"Cleburne","Home and lifestyle","56.11",2,"2019-02-02","10:11:00","Cash","6.30"
43,"La Porte","Sports and travel","69.12",6,"2019-02-08","13:03:00","Cash","5.60"
44,"Bryan","Food and beverages","98.70",8,"2019-03-04","20:39:00","Cash","7.60"
45,"Allen","Health and beauty","15.37",2,"2019-03-16","19:47:00","Cash","7.20"
46,"Rowlett","Electronic accessories","93.96",4,"2019-03-09","18:00:00","Cash","9.50"
47,"Port Arthur","Health and beauty","56.69",9,"2019-02-27","17:24:00","Credit card","8.40"
48,"Grand Prairie","Food and beverages","20.01",9,"2019-02-06","15:47:00","Ewallet","4.10"
49,"Georgetown","Electronic accessories","18.93",6,"2019-02-10","12:45:00","Credit card","8.10"
50,"McAllen","Fashion accessories","82.63",10,"2019-03-19","17:08:00","Ewallet","7.90"
51,"Southlake","Food and beverages","91.40",7,"2019-02-03","10:19:00","Cash","9.50"
52,"Angleton","Food and beverages","44.59",5,"2019-02-10","15:10:00","Cash","8.50"
53,"Mission","Fashion accessories","17.87",4,"2019-03-22","14:42:00","Ewallet","6.50"
54,"Missouri City","Fashion accessories","15.43",1,"2019-01-25","15:46:00","Credit card","6.10"
55,"Fort Worth","Home and lifestyle","16.16",2,"2019-03-07","11:49:00","Ewallet","6.50"
56,"Bryan","Electronic accessories","85.98",8,"2019-02-28","19:01:00","Cash","8.20"
57,"San Antonio","Home and lifestyle","44.34",2,"2019-03-27","11:26:00","Cash","5.80"
58,"Hurst","Health and beauty","89.60",8,"2019-02-07","11:28:00","Ewallet","6.60"
59,"Grapevine","Home and lifestyle","72.35",10,"2019-01-20","15:55:00","Cash","5.40"
60,"Lewisville","Electronic accessories","30.61",6,"2019-03-12","20:36:00","Cash","9.30"
61,"Bryan","Sports and travel","24.74",3,"2019-02-15","17:47:00","Credit card","10.00"
62,"Del Rio","Home and lifestyle","55.73",6,"2019-02-24","10:55:00","Ewallet","7.00"
63,"League City","Sports and travel","55.07",9,"2019-02-03","13:40:00","Ewallet","10.00"
64,"Rockwall","Sports and travel","15.81",10,"2019-03-06","12:27:00","Credit card","8.60"
65,"Waxahachie","Health and beauty","75.74",4,"2019-02-14","14:35:00","Cash","7.60"
66,"Bryan","Health and beauty","15.87",10,"2019-03-13","16:40:00","Cash","5.80"
67,"Killeen","Health and beauty","33.47",2,"2019-02-10","15:43:00","Ewallet","6.70"
68,"Round Rock","Fashion accessories","97.61",6,"2019-01-07","15:01:00","Ewallet","9.90"
69,"La Porte","Sports and travel","78.77",10,"2019-01-24","10:04:00","Cash","6.40"
70,"San Angelo","Health and beauty","18.33",1,"2019-02-02","18:50:00","Cash","4.30"
71,"Arlington","Food and beverages","89.48",10,"2019-01-06","12:46:00","Credit card","9.60"
72,"McKinney","Fashion accessories","62.12",10,"2019-02-11","16:19:00","Cash","5.90"
